,Unnamed: 0,มหาวิทยาลัย,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,คณะ,สาขา,ค่าใช้จ่ายที่ปรับแล้ว,img,latitude,longitude
0,0,จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,Bachelor of Engineering Program in Computer Engineering and Digital Technology,ภาษาไทย ปกติ,วิทยาเขตหลัก,25500,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,25500,https://assets.mytcas.com/i/logo/001.png,13.739536259364389,100.52874969391577
1,1,มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,บางเขน,,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,17300,https://assets.mytcas.com/i/logo/002.png,13.849150471670317,100.5730835962902
2,2,มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,กำแพงแสน,"156,000",คณะวิศวกรรมศาสตร์ กำแพงแสน,วิศวกรรมคอมพิวเตอร์,17300,https://assets.mytcas.com/i/logo/002.png,14.022502973399048,99.98965727786457
3,3,มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,B.Eng. (Computer Engineering and Informatics),ภาษาไทย ปกติ,ศรีราชา,"232,800",คณะวิศวกรรมศาสตร์ ศรีราชา,วิศวกรรมคอมพิวเตอร์,26100,https://assets.mytcas.com/i/logo/002.png,13.122499652978641,100.91901344338582
4,4,มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,เฉลิมพระเกียรติ จ.สกลนคร,,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,15000,https://assets.mytcas.com/i/logo/002.png,17.291556161171368,104.11180713817147
5,5,มหาวิทยาลัยขอนแก่น,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering),ภาษาไทย ปกติ,ขอนแก่น,20000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,20000,https://assets.mytcas.com/i/logo/003.png,16.47433039755696,102.82089245920595
6,6,มหาวิทยาลัยเชียงใหม่,วศ.บ.วิศวกรรมคอมพิวเตอร์,,ภาษาไทย ปกติ,วิทยาเขตหลัก,"184,000",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,23000,https://assets.mytcas.com/i/logo/004.png,18.810008440535384,98.9553683508988
7,7,มหาวิทยาลัยเชียงใหม่,วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,,นานาชาติ,วิทยาเขตหลัก,"400,000",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,50000,https://assets.mytcas.com/i/logo/004.png,18.80919666244903,98.95591206510497
8,8,มหาวิทยาลัยธรรมศาสตร์,วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,ศูนย์รังสิต,18900,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,18900,https://assets.mytcas.com/i/logo/005.png,14.07204650414038,100.60577283060792
9,9,มหาวิทยาลัยธรรมศาสตร์,วศ.บ.สาขาวิชาวิศวกรรมดิจิทัล และวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (SIIT),Bachelor of Engineering (B.Eng.),นานาชาติ,ศูนย์รังสิต,101200,สถาบันเทคโนโลยีนานาชาติสิรินธร,วิศวกรรมคอมพิวเตอร์,101200,https://assets.mytcas.com/i/logo/005.png,14.073058538569901,100.6068483736274
