มหาวิทยาลัย,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,คณะ,สาขา
จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,Bachelor of Engineering Program in Computer Engineering and Digital Technology,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,บางเขน,,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,กำแพงแสน,"156,000",คณะวิศวกรรมศาสตร์ กำแพงแสน,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,B.Eng. (Computer Engineering and Informatics),ภาษาไทย ปกติ,ศรีราชา,"232,800",คณะวิศวกรรมศาสตร์ ศรีราชา,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยเกษตรศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,เฉลิมพระเกียรติ จ.สกลนคร,,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยขอนแก่น,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering),ภาษาไทย ปกติ,ขอนแก่น,ค่าธรรมเนียมการศึกษา (ชาวไทย) 20000 บาท/เทอม,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยเชียงใหม่,วศ.บ.วิศวกรรมคอมพิวเตอร์,,ภาษาไทย ปกติ,วิทยาเขตหลัก,"184,000",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยเชียงใหม่,วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,,นานาชาติ,วิทยาเขตหลัก,"400,000",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยธรรมศาสตร์,วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,ศูนย์รังสิต,"18,900 บาท ต่อภาคการศึกษา",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยธรรมศาสตร์,วศ.บ.สาขาวิชาวิศวกรรมดิจิทัล และวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (SIIT),Bachelor of Engineering (B.Eng.),นานาชาติ,ศูนย์รังสิต,"101,200 บาท ต่อภาคการศึกษา",สถาบันเทคโนโลยีนานาชาติสิรินธร,วิศวกรรมคอมพิวเตอร์
